mkn_segment_sentence,eng_segment_sentence,start,wav_files,audio_segment_path
jadi...,and...,0:03:43,audio/audio_1.wav,
na trus bilang,they said again that.,0:03:44,audio/audio_1.wav,
mas yang dong jual yang sekarang yang baru ni.,the gold that they sell nowdays is.,0:03:45,audio/audio_1.wav,
bilangnya...,(they) said...,0:03:48,audio/audio_1.wav,
dia pung kadar mas tu,its quality is...,0:03:49,audio/audio_1.wav,
su kurang.,already decreasing.,0:03:51,audio/audio_1.wav,
ke sonde sama...,(it is) not the same as ...,0:03:52,audio/audio_1.wav,
son sama ke yang dulu lai.,not the same as the gold in old days.,0:03:53,audio/audio_1.wav,
kaya yang mas-mas dulu dong.,as the gold in old times.,0:03:53,audio/audio_1.wav,
jadi dong ke tanya.,so they asked.,0:03:55,audio/audio_1.wav,
cegat-cegat memang orang sebelum masuk pegadaian tu.,the people before they came in to the pawnshop.,0:03:57,audio/audio_1.wav,
supaya itu barang mas.,so that the gold ...,0:04:00,audio/audio_1.wav,
jatoh di dorang.,goes to them,0:04:02,audio/audio_1.wav,
kan kalo bagitu kan.,so if it is so,0:04:03,audio/audio_1.wav,
ke buang putus su to.,to pay cash.,0:04:06,audio/audio_1.wav,
hmm.,hmm.,0:04:07,audio/audio_1.wav,
buang putus jadi ke nanti itu orang sonde bisa tebus dia pung barang lai.,pay cash that later people cannot pay back their gold anymore.,0:04:07,audio/audio_1.wav,
ko abis dong su ame to.,because they have bought it,0:04:11,audio/audio_1.wav,
ma ame ju dong...,but even though they bought it...,0:04:13,audio/audio_1.wav,
ame deng harga di bawa harga toko.,bought below the standard price,0:04:15,audio/audio_1.wav,
na orang son tau.,but people don’t know that.,0:04:18,audio/audio_1.wav,
orang pikir sa...,people just think that...,0:04:19,audio/audio_1.wav,
dong butu doi ada yang kasi doi.,"they need money, and someone gives (them) money.",0:04:20,audio/audio_1.wav,
na jual lepas su.,just sell it.,0:04:22,audio/audio_1.wav,
son tau hal lai.,(they) don’t know.,0:04:23,audio/audio_1.wav,
dong biasa bagitu tu.,they usually do so.,0:04:24,audio/audio_1.wav,
dong te’e-te’e ini orang kampung dong.,they usually catch the laymen,0:04:26,audio/audio_1.wav,
yang son tau-tau betul begitu.,that don’t know anything about it.,0:04:28,audio/audio_1.wav,
itu su.,that’s it.,0:04:30,audio/audio_1.wav,
ko abis.,because,0:04:30,audio/audio_1.wav,
biasa sa be biasa lewat klo pi kampus tu.,I usually pass through (that place) when going to campus.,0:04:32,audio/audio_1.wav,
ada tanta-tanta satu badan besar e.,there is a fat woman.,0:04:33,audio/audio_1.wav,
dia pung badan pung besar.,she has fat body,0:04:35,audio/audio_1.wav,
yang.,that,0:04:36,audio/audio_1.wav,
yang tepa sa lu tu orang mana?,where does the woman who catch you come from?,0:04:38,audio/audio_1.wav,
e sonde tau.,hmm I don’t know.,0:04:38,audio/audio_1.wav,
tanta satu e.,a woman.,0:04:40,audio/audio_1.wav,
dia pung rambut...,her hair...,0:04:41,audio/audio_1.wav,
dia pung badan kici ko besar?,is she thin or fat?,0:04:42,audio/audio_1.wav,
e badan ju lumayan.,hmm she is a bit fat.,0:04:43,audio/audio_1.wav,
dia pung badan xx we...,her body xx ...,0:04:44,audio/audio_1.wav,
gaya abis.,stylish,0:04:45,audio/audio_1.wav,
ada duduk sa...,and just sit...,0:04:46,audio/audio_1.wav,
ada lai maen duduk di pinggir pegadaian situ.,just sit beside the pawnshop.,0:04:48,audio/audio_1.wav,
tinggal tunggu orang yang datang dan pergi.,just wait for the people come and go,0:04:50,audio/audio_1.wav,
tapi...,but...,0:04:51,audio/audio_1.wav,
tau be baru dapa liat itu tanta.,I’ve just seen the woman.,0:04:53,audio/audio_1.wav,
tanta yang satu biasa dapat lia tu.,the woman who I always saw.,0:04:55,audio/audio_1.wav,
biasa dia duduk depan...,she usually sit in the front of...,0:04:56,audio/audio_1.wav,
dekat-dekat pintu pegadaian situ.,near the pawnshop door.,0:04:58,audio/audio_1.wav,
dia duduk situ...,she sat there...,0:05:00,audio/audio_1.wav,
baru.,then.,0:05:01,audio/audio_1.wav,
dia mungkin tunggu orang di situ sa.,perhaps she just wait for people there.,0:05:03,audio/audio_1.wav,
son sama ke ni tanta yang satu ni.,not as the woman.,0:05:05,audio/audio_1.wav,
orang pung datang dia su lari kajar tu orang.,when people come she runs to chase them.,0:05:07,audio/audio_1.wav,
ma ini tanta yang be biasa liat ni...,but the woman that I always see...,0:05:09,audio/audio_1.wav,
dia pung gantong barang mas di dia pung badan pung banyak.,she hang up many gold acsessories on her body,0:05:11,audio/audio_1.wav,
kira-kira ini...,(I) guess this...,0:05:12,audio/audio_1.wav,
tau itu yang berapa gram be su son tau lai.,I don’t know how many grams that she wear.,0:05:13,audio/audio_1.wav,
ma semua-semua lengkap abis.,but it is complete.,0:05:15,audio/audio_1.wav,
kira-kira ini...,(I) guess this ...,0:05:17,audio/audio_1.wav,
dong bikin begitu tu.,they do so.,0:05:19,audio/audio_1.wav,
itu pegawai.,and the employee.,0:05:21,audio/audio_1.wav,
"pokoknya karyawan pegadaian dong deng dia pung kepala dong, tau ko sonde?","basically the pawnshop staff and their leaders, do you know?",0:05:25,audio/audio_1.wav,
e pasti dong tau kan.,"of course they know, right?",0:05:27,audio/audio_1.wav,
paling kan..,mostly,0:05:28,audio/audio_1.wav,
beta ju rasa ke ada kerjasama.,I also think that there is a cooperation.,0:05:30,audio/audio_1.wav,
ih be sonde tau.,hmm I don’t know.,0:05:32,audio/audio_1.wav,
paling kan.,mostly.,0:05:33,audio/audio_1.wav,
tegantung to.,it is depend on.,0:05:34,audio/audio_1.wav,
dia pung.,it’s.,0:05:35,audio/audio_1.wav,
maksudnya...,hmm I mean...,0:05:36,audio/audio_1.wav,
dari tu orang sendiri.,the person him/herself,0:05:37,audio/audio_1.wav,
kalo memang dia mau jual di...,if s/he indeed wants to sell the gold to...,0:05:39,audio/audio_1.wav,
"itu orang yang di luar, ya","the person outside, ya",0:05:41,audio/audio_1.wav,
terserah dia.,hmm it’s depend on him/her,0:05:42,audio/audio_1.wav,
kalo memang dia betul-betul butu uang dan mungkin.,if s/he really needs money and perhaps.,0:05:44,audio/audio_1.wav,
dalam waktu yang su ditentukan dia su sonde bisa...,"at certain times, s/he can’t...",0:05:46,audio/audio_1.wav,
pi tebus na.,pay it back.,0:05:47,audio/audio_1.wav,
berarti...,it means that...,0:05:49,audio/audio_1.wav,
lepas su to dia kasi di itu orang su to.,let she gives it to that person.,0:05:51,audio/audio_1.wav,
ya.,yes.,0:05:52,audio/audio_1.wav,
kira-kira dia tau dari mana o?,how does she know that?,0:05:54,audio/audio_1.wav,
ini apa...,what is it ...,0:05:55,audio/audio_1.wav,
ini mas ini ini mas.,this gold is.,0:05:57,audio/audio_1.wav,
dia punya kadar masih tinggi ko su lemah?.,does the gold still have good quality or not ?,0:05:59,audio/audio_1.wav,
sonde ju.,not really.,0:06:01,audio/audio_1.wav,
ko abis.,but.,0:06:03,audio/audio_1.wav,
ini.,this.,0:06:04,audio/audio_1.wav,
apa na.,what is it.,0:06:05,audio/audio_1.wav,
kan harga mas su nae na.,as the price of the gold already increased.,0:06:07,audio/audio_1.wav,
orang.,people,0:06:08,audio/audio_1.wav,
mungkin.,maybe.,0:06:10,audio/audio_1.wav,
be ju son tau e.,I don’t understand either.,0:06:12,audio/audio_1.wav,
ato mungkin memang itu orang dong tukang timbun emas,or maybe they are gold collector.,0:06:14,audio/audio_1.wav,
be ju onde tau.,I don’t know either.,0:06:15,audio/audio_1.wav,
ko abis.,but.,0:06:16,audio/audio_1.wav,
dong.,they.,0:06:17,audio/audio_1.wav,
tiap hari sa duduk jaga tu pegadaian ke kaya jaga apa ko...,(they) are just sitting in pawnshop everyday like ...,0:06:19,audio/audio_1.wav,
"ke sonde ada kerja laen lai, ko?.",isn’t there no other job?,0:06:21,audio/audio_1.wav,
0.,0.,0:06:24,audio/audio_1.wav,
tiap hari duduk jaga tu pegadaian.,everyday guarding that pawnshop.,0:06:25,audio/audio_1.wav,
"o mungkin itu sonde ada kerja, memang.",or maybe it is true that no other job.,0:06:26,audio/audio_1.wav,
o dia pung kerja jaga pegadaian tunggu-tunggu yang jual mas.,his job is guard the pawnshop and waiting for someone who sell the gold,0:06:29,audio/audio_1.wav,
"aih, parah mati!","wow, so bad!",0:06:31,audio/audio_1.wav,
e be su pamalas.,I am lazy already.,0:06:33,audio/audio_1.wav,
sampe be...,until I am...,0:06:34,audio/audio_1.wav,
aduh...,auch...,0:06:35,audio/audio_1.wav,
alamat besok-besok ni kalo bajanji deng orang jangan di depan Glory.,"next time, don’t make any appointment in front of Glory.",0:06:38,audio/audio_1.wav,
kalo pagi-pagi...,if early in the morning...,0:06:39,audio/audio_1.wav,
alamat dapa kejar lai.,will get catch up again.,0:06:40,audio/audio_1.wav,
"tanya, ada jual mas ko?","(she) asking, are you selling the gold?",0:06:42,audio/audio_1.wav,
be pung tampang...,my face..,0:06:43,audio/audio_1.wav,
tampang jual mas?,is(my face)gold seller’s face?,0:06:45,audio/audio_1.wav,
e ko lu pung kaka kerja dimana selama ini?,where is your sister’s job up till now?,0:06:47,audio/audio_1.wav,
sonde.,no.,0:06:48,audio/audio_1.wav,
be pung kaka sulung kan.,my oldest sister.,0:06:50,audio/audio_1.wav,
dia baru abis taon lalu to.,she just finished a year ago.,0:06:51,audio/audio_1.wav,
oo.,oo.,0:06:51,audio/audio_1.wav,
jadi pas abis deng abis.,so after that.,0:06:52,audio/audio_1.wav,
kebetulan baru-baru...,by recently...,0:06:54,audio/audio_1.wav,
baca...,(she) read...,0:06:55,audio/audio_1.wav,
Pos Kupang.,Kupang Post.,0:06:57,audio/audio_1.wav,
ini.,this.,0:06:58,audio/audio_1.wav,
Pansimas ni.,Pansimas.,0:07:00,audio/audio_1.wav,
itu LSM kalo be onde salah dengar.,it’s NGO if I am not mishear.,0:07:02,audio/audio_1.wav,
ha dia lai ada butu.,need (some employers).,0:07:03,audio/audio_1.wav,
kebetulan butu.,accidentally need some.,0:07:04,audio/audio_1.wav,
tenaga to?.,"staff, right?",0:07:05,audio/audio_1.wav,
na kebetulan be pung kaka pung jurusan.,"fortunately, my sister’s majors.",0:07:07,audio/audio_1.wav,
perlu teknik sipil to.,need civil engineering.,0:07:08,audio/audio_1.wav,
kan dia teknik sipil.,(she was) civil engineering.,0:07:10,audio/audio_1.wav,
jadi.,so.,0:07:11,audio/audio_1.wav,
dia pi daftar su.,she is going to enlisted.,0:07:12,audio/audio_1.wav,
ikut tes.,join the test.,0:07:13,audio/audio_1.wav,
ikut tes.,join the test.,0:07:14,audio/audio_1.wav,
pelatihan.,training.,0:07:14,audio/audio_1.wav,
lulus.,pass a test.,0:07:15,audio/audio_1.wav,
lulus ju.,pass.,0:07:16,audio/audio_1.wav,
dia bawa motor ju lu sendiri.,she was driving the motorcycle then you are alone.,0:07:17,audio/audio_1.wav,
jalan kaki su.,just take a walk.,0:07:18,audio/audio_1.wav,
e ko abis mau karmana lai.,"well,what else again.",0:07:19,audio/audio_1.wav,
yang motor yang satu.,the other one motorcycle.,0:07:20,audio/audio_1.wav,
be pung ade laki-laki punya na.,(that motorcycle) is my brother’s.,0:07:22,audio/audio_1.wav,
oo.,oo.,0:07:23,audio/audio_1.wav,
pi ko cari bekelai?,want to fight?,0:07:24,audio/audio_1.wav,
repot lai nanti.,will be busy again.,0:07:25,audio/audio_1.wav,
e lu anak perempuan sendiri?,are you the only one daughter?,0:07:26,audio/audio_1.wav,
e sonde ju.,not really.,0:07:27,audio/audio_1.wav,
ko abis.,well.,0:07:28,audio/audio_1.wav,
kotong perempuan ampat orang na.,we are four daughters.,0:07:30,audio/audio_1.wav,
laki-laki hanya satu orang.,only one son.,0:07:31,audio/audio_1.wav,
bosong berapa bersodara?,how many sibling do you have?,0:07:32,audio/audio_1.wav,
"we, kotong ada lima orang.",we are five person.,0:07:33,audio/audio_1.wav,
hmm.,hmm.,0:07:34,audio/audio_1.wav,
makanya itu su .,so that’s why.,0:07:35,audio/audio_1.wav,
laki-laki satu orang.,just one son.,0:07:36,audio/audio_1.wav,
mama tua telalu manja.,the woman very spoiled (her son).,0:07:37,audio/audio_1.wav,
jadi.,so.,0:07:38,audio/audio_1.wav,
yah.,yah.,0:07:39,audio/audio_1.wav,
o pantas,"yeah,of course.",0:07:40,audio/audio_1.wav,
mengerti sa.,you know that.,0:07:41,audio/audio_1.wav,
ko abis.,because.,0:07:41,audio/audio_1.wav,
dia yang mau bilang minta apa sa.,he asked whatever.,0:07:43,audio/audio_1.wav,
ikut sa.,just follow.,0:07:44,audio/audio_1.wav,
jadi sekarang su besar ju.,so now (he is) already grow up.,0:07:46,audio/audio_1.wav,
mmm.,mmm.,0:07:47,audio/audio_1.wav,
bapa tua ju besar kepala deng ketong.,he didn’t care of us.,0:07:49,audio/audio_1.wav,
omong son dengar lai.,not hear to what we say.,0:07:50,audio/audio_1.wav,
lu anak ke berapa?,what child number you are?,0:07:51,audio/audio_1.wav,
be anak ke tiga.,I’m the third.,0:07:52,audio/audio_1.wav,
oo.,oo.,0:07:53,audio/audio_1.wav,
ma son apa-apa ju.,but it doesn’t matter.,0:07:54,audio/audio_1.wav,
istilahnya.,it means that.,0:07:56,audio/audio_1.wav,
sekarang su ringan.,now is already lightweight.,0:07:57,audio/audio_1.wav,
ko abis.,because.,0:07:57,audio/audio_1.wav,
be pung kaka nomor dua ju su kerja to.,my sister (that the second one) is also already get the job.,0:07:59,audio/audio_1.wav,
oo.,oo.,0:08:00,audio/audio_1.wav,
jadi aman sa.,so just relax.,0:08:01,audio/audio_1.wav,
o dua orang su abis.,two of your (sister) already finished.,0:08:02,audio/audio_1.wav,
ya paling yang kulia sekarang tinggal beta.,now just me who study in university.,0:08:04,audio/audio_1.wav,
be pung ade laki-laki.,my younger brother.,0:08:06,audio/audio_1.wav,
tamat SMA taon lalu.,graduated from Senior High School last year.,0:08:08,audio/audio_1.wav,
son mau lanjut.,he didn’t want to cotinue (his study).,0:08:09,audio/audio_1.wav,
ko kenapa?,why?,0:08:10,audio/audio_1.wav,
tau dia iku dia pung kawan-kawan dong.,I don’t know (but I think) he just follow his friends.,0:08:12,audio/audio_1.wav,
e nanti baru...,then...,0:08:14,audio/audio_1.wav,
ma tau sekarang dia su foe...,but now he is like crazy...,0:08:15,audio/audio_1.wav,
foe ko...,crazy to...,0:08:16,audio/audio_1.wav,
omong deng mama tua bilang.,speak to the woman.,0:08:17,audio/audio_1.wav,
ini ‘Ma e.,‘mom.,0:08:18,audio/audio_1.wav,
ini taon be kulia su ko?’,can I go to the University this year?’,0:08:19,audio/audio_1.wav,
jadi mama tua kasi tau di kotong.,so the woman told us.,0:08:20,audio/audio_1.wav,
kotong bilang.,we said.,0:08:21,audio/audio_1.wav,
‘o bae su.,‘ ok that’s right.,0:08:23,audio/audio_1.wav,
na dia su sadar na su mau kuliah’.,he is already aware of going to the university’.,0:08:25,audio/audio_1.wav,
o itu bagitu nanti...,o if it so then..,0:08:26,audio/audio_1.wav,
baru...,then...,0:08:26,audio/audio_1.wav,
manyasal ke belakang to.,regret latter.,0:08:28,audio/audio_1.wav,
ma tau ini taon dia jadi kulia ko sonde.,but (I don’t know )does he will study this year or not.,0:08:30,audio/audio_1.wav,
perempuan yang kici yang paling kecil.,and my youngest sister.,0:08:32,audio/audio_1.wav,
SMA klas dua to.,on the 2nd grade of Senior High School.,0:08:34,audio/audio_1.wav,
dia paling taon depan baru kulia.,and maybe next year she will go to the unversity.,0:08:36,audio/audio_1.wav,
oo.,oo.,0:08:38,audio/audio_1.wav,
hi.,hi.,0:08:40,audio/audio_1.wav,
asli...,original...,0:08:41,audio/audio_1.wav,
kotong rumah jau begini ni.,our house is so far.,0:08:42,audio/audio_1.wav,
Undana Penfui.,Undana Penfui.,0:08:43,audio/audio_1.wav,
ini Sikumana Penfui.,from Sikumana to Penfui.,0:08:44,audio/audio_1.wav,
bagitu jau tu.,so far.,0:08:46,audio/audio_1.wav,
aduh!,ouch!,0:08:47,audio/audio_1.wav,
kalo bagitu.,if so,0:08:48,audio/audio_1.wav,
nanti lu naek bemo turun di halte a?,"you go up with bemo and then arrive in halte, isn’t it?",0:08:50,audio/audio_1.wav,
o e.,yes.,0:08:51,audio/audio_1.wav,
di halte su ma.,"ya, at halte",0:08:52,audio/audio_1.wav,
mau di mana lai?,where do (we have to get off)?,0:08:53,audio/audio_1.wav,
ko oto di situ sa na.,because the mini.bus only stop there,0:08:54,audio/audio_1.wav,
na bilang bosong pung kampus FKIP tu.,"said that your campus ,FKIP.",0:08:55,audio/audio_1.wav,
ini...,this...,0:08:56,audio/audio_1.wav,
Damri sonde putar iko sana ko?,is Damri not passing through there?,0:08:58,audio/audio_1.wav,
ih sonde lai.,no more.,0:09:00,audio/audio_1.wav,
jadi bosong turun di itu tikungan itu to?,"so, you get off on that bend?",0:09:02,audio/audio_1.wav,
ho.,yes,0:09:03,audio/audio_1.wav,
tu turun di.,get off at..,0:09:04,audio/audio_1.wav,
simpang tiga situ tu.,at the crossroad over there.,0:09:06,audio/audio_1.wav,
turun di situ.,get off there,0:09:07,audio/audio_1.wav,
baru.,then,0:09:08,audio/audio_1.wav,
jalan kaki naek pi atas.,walk uphill.,0:09:09,audio/audio_1.wav,
ya...,yes.,0:09:10,audio/audio_1.wav,
m mendaki lai.,and go up again.,0:09:11,audio/audio_1.wav,
mujur-mujur dapa liat.,"luckily, (we) can see",0:09:12,audio/audio_1.wav,
kawan deng motor.,our friends by motorcycle,0:09:13,audio/audio_1.wav,
nebeng.,follow (him),0:09:14,audio/audio_1.wav,
bilang kampus paleng sengsara.,said that it is unfortunate campus.,0:09:16,audio/audio_1.wav,
MIPA a.,"MIPA, right?",0:09:17,audio/audio_1.wav,
we.,hei.,0:09:18,audio/audio_1.wav,
MIPA deng FAPERTA pung.,that is MIPA and FAPERTA,0:09:19,audio/audio_1.wav,
dong mandaki ngeri-ngeri.,they go through the horrifying hill.,0:09:20,audio/audio_1.wav,
batang leher.,the neck.,0:09:21,audio/audio_1.wav,
xx.,xx.,0:09:22,audio/audio_1.wav,
bagitu tinggi dia pung mendaki tu.,the hill is too high,0:09:23,audio/audio_1.wav,
lu mandaki sampe lu bengkok su.,it is very tiring to go uphill,0:09:24,audio/audio_1.wav,
oo.,oo.,0:09:26,audio/audio_1.wav,
itu kapan tempo oo?,when do you reach (the campus)?,0:09:28,audio/audio_1.wav,
sumpa ni.,swear.,0:09:30,audio/audio_1.wav,
adi.. beta ni.,I..,0:09:31,audio/audio_1.wav,
kalo beta yang kulia di sana biar su e.,"if I study there, I don’t...",0:09:33,audio/audio_1.wav,
0.,0.,0:09:34,audio/audio_1.wav,
be son mau.,I don’t want.,0:09:36,audio/audio_1.wav,
talalu jau.,it’s (MIPA) too far.,0:09:37,audio/audio_1.wav,
ko?,really?,0:09:38,audio/audio_1.wav,
mandaki lae.,walk up hill again.,0:09:39,audio/audio_1.wav,
kaka bayangkan sa.,you can imagine.,0:09:41,audio/audio_1.wav,
pagi-pagi.,early morning,0:09:42,audio/audio_1.wav,
segar-segar dari rumah.,fresh from the house,0:09:44,audio/audio_1.wav,
su barampas oto di halte.,struggle to find a car in the bus stop.,0:09:46,audio/audio_1.wav,
sampe kampus.,until campus,0:09:48,audio/audio_1.wav,
mandaki lae.,walk up again.,0:09:50,audio/audio_1.wav,
parsetan do!,damn you!,0:09:51,audio/audio_1.wav,
ketong pi kulia deng karingat-karingat?,we went to campus with the sweat?,0:09:52,audio/audio_1.wav,
ho betul.,right,0:09:54,audio/audio_1.wav,
be son mau.,I don’t want it,0:09:55,audio/audio_1.wav,
pi sampe sana orang cium besong pung bao...,"(you) went there ,people smelt your bad odour there.",0:09:55,audio/audio_1.wav,
babao karingat dong.,smell bad odour.,0:09:57,audio/audio_1.wav,
untung sakarang.,fortunately now...,0:09:58,audio/audio_1.wav,
su ada bis kampus to.,there is been campus bus .,0:10:00,audio/audio_1.wav,
jadi yah.,so...,0:10:01,audio/audio_1.wav,
hii ma...,but...,0:10:02,audio/audio_1.wav,
bis kampus yang.,campus bus which..,0:10:03,audio/audio_1.wav,
ju mau muat.,also accomodate.,0:10:04,audio/audio_1.wav,
berapa orang?,how many people?,0:10:04,audio/audio_1.wav,
hii sonde.,oh no.,0:10:05,audio/audio_1.wav,
muat banyak ju.,accomodate many.,0:10:06,audio/audio_1.wav,
biasa.,usually.,0:10:07,audio/audio_1.wav,
ma...,but...,0:10:07,audio/audio_1.wav,
yang biasa nae bis kampus hanya.,those using campus bus are only.,0:10:07,audio/audio_1.wav,
ana-ana yang kalo su terlambat to.,students who are already (coming) late.,0:10:09,audio/audio_1.wav,
karna bis sekarang.,because the bus now.,0:10:11,audio/audio_1.wav,
dia pung rute.,the route,0:10:12,audio/audio_1.wav,
naek dari FKIP situ.,get in (the bus) at the FKIP.,0:10:14,audio/audio_1.wav,
xx.,xx,0:10:15,audio/audio_1.wav,
dia nae FKIP.,go to FKIP there,0:10:16,audio/audio_1.wav,
xx iya.,xx yes,0:10:17,audio/audio_1.wav,
dia putar FST.,it stop at FST,0:10:18,audio/audio_1.wav,
dari FST.,from FST,0:10:18,audio/audio_1.wav,
dia nae FAPERTA.,it goes to FAPERTA,0:10:20,audio/audio_1.wav,
baru dia turun pi.,then it goes down to.,0:10:21,audio/audio_1.wav,
teknik di bawa tu.,at the faculty of techniques down there,0:10:22,audio/audio_1.wav,
"baru Hukum, FISIP paling terakhir.","then the faculty of law, finally pass the FISIP",0:10:24,audio/audio_1.wav,
besong pung bis.,the bus that you use.,0:10:25,audio/audio_1.wav,
kampus tu yang ini.,campus (bus) is this,0:10:26,audio/audio_1.wav,
Damri dong ni ko?,"it is Damri, isn’t it?",0:10:27,audio/audio_1.wav,
sonde...,no.,0:10:29,audio/audio_1.wav,
sonde.,no.,0:10:30,audio/audio_1.wav,
kalo Damri memang bis kampus dari halte.,Damri is indeed the campus bus from the bus stop,0:10:31,audio/audio_1.wav,
halte pi kampus tapi.,"(from) the bus stop to campus, but..",0:10:32,audio/audio_1.wav,
kalo dalam kampus.,in campus area,0:10:32,audio/audio_1.wav,
ada ketong pung bis kampus sendiri.,"we have campus bus, too",0:10:33,audio/audio_1.wav,
oo.,oo.,0:10:34,audio/audio_1.wav,
itu bis...,that bus...,0:10:35,audio/audio_1.wav,
bis baru.,the new bus.,0:10:36,audio/audio_1.wav,
dengan.,with,0:10:37,audio/audio_1.wav,
ada.,there are,0:10:38,audio/audio_1.wav,
bis Kopma.,Kopma bus.,0:10:39,audio/audio_1.wav,
Kopma Undana ni.,Undana Kopma bus,0:10:40,audio/audio_1.wav,
xx.,xx.,0:10:41,audio/audio_1.wav,
ha itu ju biasa pagi-pagi.,it’s usually in the morning too,0:10:41,audio/audio_1.wav,
angkut mahasiswa.,carry the university students,0:10:42,audio/audio_1.wav,
itu bis dia hanya.,that bus only,0:10:42,audio/audio_1.wav,
seputar kampus?,turning around campus?,0:10:43,audio/audio_1.wav,
dalam kampus sa.,around the campus only.,0:10:45,audio/audio_1.wav,
oo.,oo.,0:10:46,audio/audio_1.wav,
dia tunggu di.,(they) are waiting at,0:10:47,audio/audio_1.wav,
itu.,that,0:10:47,audio/audio_1.wav,
yang paling depan tu.,the earlier one,0:10:48,audio/audio_1.wav,
xx.,xx.,0:10:50,audio/audio_1.wav,
jalan paling depan tu.,go earlier,0:10:51,audio/audio_1.wav,
xx.,xx.,0:10:52,audio/audio_1.wav,
ha.,yes.,0:10:52,audio/audio_1.wav,
tunggu di situ.,we wait there.,0:10:53,audio/audio_1.wav,
ketong ju tunggu bis di situ.,we also wait bus there.,0:10:54,audio/audio_1.wav,
nanti kalo bis su datang naek.,"if the bus comes, (we) get in",0:10:55,audio/audio_1.wav,
baru klo su penu.,if it is full,0:10:56,audio/audio_1.wav,
baru jalan su.,then we go.,0:10:58,audio/audio_1.wav,
na itu bosong dobel bemo tu ma a.,"it means you take bemo twice, right?",0:11:00,audio/audio_1.wav,
e kan bis kampus sonde...,is campus bus not...,0:11:02,audio/audio_1.wav,
ho memang si.,yah that’s right.,0:11:03,audio/audio_1.wav,
kalo beta dari Sikumana pasti dobel bemo.,"if I come from Sikumana, I should take bemo twice.",0:11:05,audio/audio_1.wav,
ko abis jauh na.,"because it’s far, right.",0:11:07,audio/audio_1.wav,
abis mau ojek.,(I) want to rent motorcycle (but),0:11:09,audio/audio_1.wav,
sepuluh ribu a be rasa.,"ten thousand rupiah, I guess.",0:11:10,audio/audio_1.wav,
adu sumpah ni.,I swear.,0:11:11,audio/audio_1.wav,
be son mau.,I didn’t want it.,0:11:12,audio/audio_1.wav,
talalu jau.,too far.,0:11:13,audio/audio_1.wav,
sepuluh ribu lai.,(and) ten thousand.,0:11:14,audio/audio_1.wav,
biar su e.,let it be.,0:11:15,audio/audio_1.wav,
sepuluh ribu tu.,ten thousand rupiah.,0:11:16,audio/audio_1.wav,
su nae bemo sampe rumah kembali.,(I) already take bemo at home back.,0:11:18,audio/audio_1.wav,
sepuluh ribu lu hitung su.,you can count ten thousand,0:11:20,audio/audio_1.wav,
satu bulan dapat berapa?,how much for one month?,0:11:22,audio/audio_1.wav,
itu lu su beli pakian,you can buy a clothes.,0:11:23,audio/audio_1.wav,
apa lai,what else?,0:11:24,audio/audio_1.wav,
segala macam.,anything,0:11:24,audio/audio_1.wav,
itu su,that’s right,0:11:24,audio/audio_1.wav,
kebutuhan yang laen yang sonde terpenuhi.,other need that are not fulfilled,0:11:26,audio/audio_1.wav,
persetan su.,forget it.,0:11:27,audio/audio_1.wav,
e beta kalo ojek pi kampus.,if I am going to campus by rent motorbike.,0:11:29,audio/audio_1.wav,
klo su terdesak dolo.,very urgent.,0:11:31,audio/audio_1.wav,
klo aer su batang leher,if the water went to the bridge of neck,0:11:32,audio/audio_1.wav,
su betul-betul terlambat.,(it’s) too late,0:11:32,audio/audio_1.wav,
dosen kiler.,killer lecturer.,0:11:35,audio/audio_1.wav,
itu baru ojek.,(I) rent motorcycle.,0:11:37,audio/audio_1.wav,
klo sonde e...,but (if) not,0:11:38,audio/audio_1.wav,
kalo memang lu terlambat na,if you are too late,0:11:40,audio/audio_1.wav,
naek apa sa to.,(please) catch any bus,0:11:40,audio/audio_1.wav,
bangun pagi-pagi ko.,(or) wake up early in the morning,0:11:42,audio/audio_1.wav,
apa ko.,or anything,0:11:43,audio/audio_1.wav,
hi sama sa.,still same.,0:11:44,audio/audio_1.wav,
ko abis kotong di Sikumana.,because we are in Sikumana,0:11:45,audio/audio_1.wav,
biar mau keluar.,if (we want) to go out,0:11:46,audio/audio_1.wav,
pokoknya kalo mau pi sedu tu.,,0:11:47,audio/audio_1.wav,
musti keluar.,must leave home,0:11:48,audio/audio_1.wav,
setengah tuju atau kurang lima belas jam tuju.,(about) a half past six or six forty five,0:11:50,audio/audio_1.wav,
klo keluar jam tuju.,if (I) leave home at seven o’clock,0:11:53,audio/audio_1.wav,
itu berarti itu bemo lampu dua dong tu.,it means bemo line 2 (belong to).,0:11:55,audio/audio_1.wav,
itu SMP dua belas.,SMP 12.,0:12:00,audio/audio_1.wav,
SMP tiga.,SMP 3.,0:12:00,audio/audio_1.wav,
dan SMA enam punya.,and SMA 6.,0:12:00,audio/audio_1.wav,
ko abis.,because,0:12:01,audio/audio_1.wav,
oto dong hanya batareak.,(the co-drivers) of the car usually shout,0:12:03,audio/audio_1.wav,
SMP tiga.,SMP 3.,0:12:04,audio/audio_1.wav,
SMA enam.,SMA 6.,0:12:04,audio/audio_1.wav,
SMP dua blas.,SMP 12.,0:12:05,audio/audio_1.wav,
jadi sapa yang mau sampe halte?,"so, who wants to go to the bus stop?",0:12:07,audio/audio_1.wav,
